Name,Date of Birth,Type of Parliamentarian,House of Commons,Senate,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation,Years of Service
"Atkins, Norman K.",1934-06-27,"Senator (1986/06/30 - 2009/06/27)
",NA,"1986/06/30 - 2009/06/27
","Markham (1986/06/30 - 2009/06/27)
","Ontario
",Man,"Progressive Conservative Party (1986/06/30 - 2009/06/27)
","8399 days (22 years, 11 months, 29 days)"
"Atkinson, Kenneth David",1947-03-02,"MP (1988/11/21 - 1993/10/24)
","1988/11/21 - 1993/10/24
",NA,"St. Catharines (1988/11/21 - 1993/10/24)
","Ontario
",Man,"Progressive Conservative Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Attewell, Bill",1932-01-21,"MP (1989/12/29 - 1993/10/24)
MP (1988/11/21 - 1989/12/28)
MP (1984/09/04 - 1988/11/20)
","1989/12/29 - 1993/10/24
1988/11/21 - 1989/12/28
1984/09/04 - 1988/11/20
",NA,"Markham--Whitchurch--Stouffville (1989/12/29 - 1993/10/24)
Markham (1988/11/21 - 1989/12/28)
Don Valley East (1984/09/04 - 1988/11/20)
","Ontario
Ontario
Ontario
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Atwin, Jenica",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Fredericton (2019/10/21 - )
","New Brunswick
",Woman,"Liberal Party of Canada (2021/06/10 - )
Green Party of Canada (2019/10/21 - 2021/06/09)
","1603 days (4 years, 4 months, 20 days)"
"Aubin, Robert",1960-05-26,"MP (2011/05/02 - 2019/10/20)
","2011/05/02 - 2019/10/20
",NA,"Trois-Rivières (2011/05/02 - 2019/10/20)
","Quebec
",Man,"New Democratic Party (2011/05/02 - 2019/10/20)
","3094 days (8 years, 5 months, 20 days)"
"Audette, Michèle",NA,"Senator (2021/07/29 - )
",NA,"2021/07/29 - 
","De Salaberry (2021/07/29 - )
","Quebec
",Woman,"Progressive Senate Group (2023/12/27 - )
Non-affiliated (2023/08/09 - 2023/12/26)
Progressive Senate Group (2022/06/27 - 2023/08/08)
Independent Senators Group (2021/09/27 - 2022/06/26)
Non-affiliated (2021/07/29 - 2021/09/26)
","956 days (2 years, 7 months, 13 days)"
"Augustine, Jean",1937-09-09,"MP (1993/10/25 - 2006/01/22)
","1993/10/25 - 2006/01/22
",NA,"Etobicoke--Lakeshore (1993/10/25 - 2006/01/22)
","Ontario
",Woman,"Liberal Party of Canada (1993/10/25 - 2006/01/22)
","4473 days (12 years, 2 months, 29 days)"
"Austin, Jack",1932-03-02,"Senator (1975/08/19 - 2007/03/02)
",NA,"1975/08/19 - 2007/03/02
","Vancouver South (1975/08/19 - 2007/03/02)
","British Columbia
",Man,"Liberal Party of Canada (1975/08/19 - 2007/03/02)
","11519 days (31 years, 6 months, 13 days)"
"Axworthy, Christopher (Chris) S.",1947-03-10,"MP (1997/06/02 - 1999/05/13)
MP (1988/11/21 - 1997/06/01)
","1997/06/02 - 1999/05/13
1988/11/21 - 1997/06/01
",NA,"Saskatoon--Rosetown--Biggar (1997/06/02 - 1999/05/13)
Saskatoon--Clark's Crossing (1988/11/21 - 1997/06/01)
","Saskatchewan
Saskatchewan
",Man,"New Democratic Party (1988/11/21 - 1999/05/13)
","3826 days (10 years, 5 months, 22 days)"
"Axworthy, Lloyd",1939-12-21,"MP (1988/11/21 - 2000/11/26)
MP (1979/05/22 - 1988/11/20)
","1988/11/21 - 2000/11/26
1979/05/22 - 1988/11/20
",NA,"Winnipeg South Centre (1988/11/21 - 2000/11/26)
Winnipeg--Fort Garry (1979/05/22 - 1988/11/20)
","Manitoba
Manitoba
",Man,"Liberal Party of Canada (1979/05/22 - 2000/11/26)
","7860 days (21 years, 6 months, 7 days)"
"Ayala, Paulina",1962-06-25,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Honoré-Mercier (2011/05/02 - 2015/10/18)
","Quebec
",Woman,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Ayoub, Ramez",NA,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"Thérèse-De Blainville (2015/10/19 - 2019/10/20)
","Quebec
",Man,"Liberal Party of Canada (2015/10/19 - 2019/10/20)
","1463 days (4 years, 2 days)"
"Bachand, André",1961-12-08,"MP (1997/06/02 - 2004/06/27)
","1997/06/02 - 2004/06/27
",NA,"Richmond--Arthabaska (1997/06/02 - 2004/06/27)
","Quebec
",Man,"Conservative Party of Canada (2008/09/24 - 2008/10/13)
Independent (2004/02/02 - 2008/09/23)
Progressive Conservative Party (1997/06/02 - 2004/02/01)
","2583 days (7 years, 26 days)"
"Bachand, André",1934-06-15,"MP (1980/02/18 - 1984/09/03)
","1980/02/18 - 1984/09/03
",NA,"Missisquoi (1980/02/18 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1980/02/18 - 1984/09/03)
","1660 days (4 years, 6 months, 16 days)"
"Bachand, Claude",1951-01-03,"MP (1993/10/25 - 2011/05/01)
","1993/10/25 - 2011/05/01
",NA,"Saint-Jean (1993/10/25 - 2011/05/01)
","Quebec
",Man,"Bloc Québécois (1993/10/25 - 2011/05/01)
","6398 days (17 years, 6 months, 6 days)"
"Bachrach, Taylor",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Skeena--Bulkley Valley (2019/10/21 - )
","British Columbia
",Man,"New Democratic Party (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Bacon, Lise",1934-08-25,"Senator (1994/09/15 - 2009/08/25)
",NA,"1994/09/15 - 2009/08/25
","De la Durantaye (1994/09/15 - 2009/08/25)
","Quebec
",Woman,"Liberal Party of Canada (1994/09/15 - 2009/08/25)
","5459 days (14 years, 11 months, 11 days)"
"Badanai, Hubert",1895-01-11,"MP (1958/03/31 - 1972/10/29)
","1958/03/31 - 1972/10/29
",NA,"Fort William (1958/03/31 - 1972/10/29)
","Ontario
",Man,"Liberal Party of Canada (1958/03/31 - 1972/10/29)
","5327 days (14 years, 7 months, 1 days)"
"Badawey, Vance",1964-10-05,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Niagara Centre (2015/10/19 - )
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Bagnell, Larry",1949-12-19,"MP (2015/10/19 - 2021/09/19)
MP (2000/11/27 - 2011/05/01)
","2015/10/19 - 2021/09/19
2000/11/27 - 2011/05/01
",NA,"Yukon (2015/10/19 - 2021/09/19)
Yukon (2000/11/27 - 2011/05/01)
","Yukon
Yukon
",Man,"Liberal Party of Canada (2015/10/19 - 2021/09/19)
Liberal Party of Canada (2000/11/27 - 2011/05/01)
","5971 days (16 years, 4 months, 5 days)"
"Bailey, Roy Hardeman",1928-12-16,"MP (1997/06/02 - 2004/06/27)
","1997/06/02 - 2004/06/27
",NA,"Souris--Moose Mountain (1997/06/02 - 2004/06/27)
","Saskatchewan
",Man,"Conservative Party of Canada (2003/12/23 - 2004/06/27)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)
","2583 days (7 years, 26 days)"
"Bains, Navdeep Singh",1977-06-16,"MP (2015/10/19 - 2021/09/19)
MP (2004/06/28 - 2011/05/01)
","2015/10/19 - 2021/09/19
2004/06/28 - 2011/05/01
",NA,"Mississauga--Malton (2015/10/19 - 2021/09/19)
Mississauga--Brampton South (2004/06/28 - 2011/05/01)
","Ontario
Ontario
",Man,"Liberal Party of Canada (2015/10/19 - 2021/09/19)
Liberal Party of Canada (2004/06/28 - 2011/05/01)
","4662 days (12 years, 9 months, 5 days)"
"Baird, Alexander Boyd",1891-08-31,"Senator (1949/08/17 - 1967/11/23)
",NA,"1949/08/17 - 1967/11/23
","St. John's (1949/08/17 - 1967/11/23)
","Newfoundland and Labrador
",Man,"Liberal Party of Canada (1949/08/17 - 1967/11/23)
","6673 days (18 years, 3 months, 8 days)"
"Baird, John",1969-05-26,"MP (2006/01/23 - 2015/03/16)
","2006/01/23 - 2015/03/16
",NA,"Ottawa West--Nepean (2006/01/23 - 2015/03/16)
","Ontario
",Man,"Conservative Party of Canada (2006/01/23 - 2015/03/16)
","3340 days (9 years, 1 months, 23 days)"
"Baker, George",1942-09-03,"MP (1988/11/21 - 2002/03/25)
MP (1974/07/08 - 1988/11/20)
Senator (2002/03/26 - 2017/09/03)
","1988/11/21 - 2002/03/25
1974/07/08 - 1988/11/20
","2002/03/26 - 2017/09/03
","Newfoundland and Labrador (2002/03/26 - 2017/09/03)
Gander--Grand Falls (1988/11/21 - 2002/03/25)
Gander--Twillingate (1974/07/08 - 1988/11/20)
","Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador
",Man,"Liberal Party of Canada (1972/10/30 - 2017/09/03)
","15764 days (43 years, 1 months, 28 days)"
"Baker, Walter David",1930-08-22,"MP (1979/05/22 - 1983/11/13)
MP (1972/10/30 - 1979/05/21)
","1979/05/22 - 1983/11/13
1972/10/30 - 1979/05/21
",NA,"Nepean--Carleton (1979/05/22 - 1983/11/13)
Grenville--Carleton (1972/10/30 - 1979/05/21)
","Ontario
Ontario
",Man,"Progressive Conservative Party (1972/10/30 - 1983/11/13)
","4032 days (11 years, 14 days)"
"Baker, Yvan",1977-12-08,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Etobicoke Centre (2019/10/21 - )
","Ontario
",Man,"Liberal Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Bakopanos, Eleni",1954-05-10,"MP (1997/06/02 - 2006/01/22)
MP (1993/10/25 - 1997/06/01)
","1997/06/02 - 2006/01/22
1993/10/25 - 1997/06/01
",NA,"Ahuntsic (1997/06/02 - 2006/01/22)
Saint-Denis (1993/10/25 - 1997/06/01)
","Quebec
Quebec
",Woman,"Liberal Party of Canada (1993/10/25 - 2006/01/22)
","4473 days (12 years, 2 months, 29 days)"
"Balcer, Léon",1917-10-13,"MP (1949/06/27 - 1965/11/07)
","1949/06/27 - 1965/11/07
",NA,"Trois-Rivières (1949/06/27 - 1965/11/07)
","Quebec
",Man,"Independent (1965/04/07 - 1968/06/24)
Progressive Conservative Party (1949/06/27 - 1965/04/06)
","5978 days (16 years, 4 months, 12 days)"
"Baldinelli, Tony",1964-11-24,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Niagara Falls (2019/10/21 - )
","Ontario
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Baldwin, Gerald William",1907-01-18,"MP (1958/03/31 - 1980/02/17)
","1958/03/31 - 1980/02/17
",NA,"Peace River (1958/03/31 - 1980/02/17)
","Alberta
",Man,"Progressive Conservative Party (1958/03/31 - 1980/02/18)
","7994 days (21 years, 10 months, 20 days)"
"Balfour, James",1928-05-22,"MP (1972/10/30 - 1979/05/21)
Senator (1979/09/13 - 1999/12/12)
","1972/10/30 - 1979/05/21
","1979/09/13 - 1999/12/12
","Regina (1979/09/13 - 1999/12/12)
Regina East (1972/10/30 - 1979/05/21)
","Saskatchewan
Saskatchewan
",Man,"Progressive Conservative Party (1979/09/13 - 1999/12/12)
Progressive Conservative Party (1972/10/30 - 1979/05/21)
","9791 days (26 years, 9 months, 21 days)"
"Ballard, Harold Raymond",1918-02-05,"MP (1965/11/08 - 1968/06/24)
","1965/11/08 - 1968/06/24
",NA,"Calgary South (1965/11/08 - 1968/06/24)
","Alberta
",Man,"Progressive Conservative Party (1965/11/08 - 1968/06/24)
","960 days (2 years, 7 months, 17 days)"
"Banks, Thomas (Tommy) Benjamin",1936-12-17,"Senator (2000/04/07 - 2011/12/17)
",NA,"2000/04/07 - 2011/12/17
","Alberta (2000/04/07 - 2011/12/17)
","Alberta
",Man,"Liberal Party of Canada (2000/04/07 - 2011/12/17)
","4272 days (11 years, 8 months, 11 days)"
"Barbot, Vivian",1941-07-07,"MP (2006/01/23 - 2008/10/13)
","2006/01/23 - 2008/10/13
",NA,"Papineau (2006/01/23 - 2008/10/13)
","Quebec
",Woman,"Bloc Québécois (2006/01/23 - 2008/10/13)
","995 days (2 years, 8 months, 22 days)"
"Barlow, John",1971-10-13,"MP (2015/10/19 - )
MP (2014/06/30 - 2015/10/18)
","2015/10/19 - 
2014/06/30 - 2015/10/18
",NA,"Foothills (2015/10/19 - )
Macleod (2014/06/30 - 2015/10/18)
","Alberta
Alberta
",Man,"Conservative Party of Canada (2014/06/30 - )
","3542 days (9 years, 8 months, 12 days)"
"Barnes, Rex",1959-06-04,"MP (2002/05/13 - 2004/06/27)
","2002/05/13 - 2004/06/27
",NA,"Gander--Grand Falls (2002/05/13 - 2004/06/27)
","Newfoundland and Labrador
",Man,"Conservative Party of Canada (2004/02/02 - 2004/06/27)
Progressive Conservative Party (2002/05/13 - 2004/02/01)
","777 days (2 years, 1 months, 17 days)"
"Barnes, Susan (Sue)",1952-09-08,"MP (1993/10/25 - 2008/10/13)
","1993/10/25 - 2008/10/13
",NA,"London West (1993/10/25 - 2008/10/13)
","Ontario
",Woman,"Liberal Party of Canada (1993/10/25 - 2008/10/13)
","5468 days (14 years, 11 months, 20 days)"
"Barnett, Thomas Speakman",1909-09-03,"MP (1969/04/08 - 1974/07/07)
MP (1962/06/18 - 1968/06/24)
MP (1953/08/10 - 1958/03/30)
","1969/04/08 - 1974/07/07
1962/06/18 - 1968/06/24
1953/08/10 - 1958/03/30
",NA,"Comox--Alberni (1969/04/08 - 1974/07/07)
Comox--Alberni (1962/06/18 - 1968/06/24)
Comox--Alberni (1953/08/10 - 1958/03/30)
","British Columbia
British Columbia
British Columbia
",Man,"New Democratic Party (1969/04/08 - 1974/07/07)
New Democratic Party (1962/06/18 - 1968/06/24)
Co-operative Commonwealth Federation (1953/08/10 - 1958/03/30)
","5810 days (15 years, 10 months, 27 days)"
"Barootes, Efstathios William (Staff)",1918-11-15,"Senator (1984/12/21 - 1993/05/25)
",NA,"1984/12/21 - 1993/05/25
","Regina-Qu'Appelle (1984/12/21 - 1993/05/25)
","Saskatchewan
",Man,"Progressive Conservative Party (1984/12/21 - 1993/05/25)
","3078 days (8 years, 5 months, 4 days)"
"Barrett, David",1930-10-02,"MP (1988/11/21 - 1993/10/24)
","1988/11/21 - 1993/10/24
",NA,"Esquimalt--Juan de Fuca (1988/11/21 - 1993/10/24)
","British Columbia
",Man,"New Democratic Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Barrett, H. Gordon",1915-08-20,"MP (1968/06/25 - 1972/10/29)
","1968/06/25 - 1972/10/29
",NA,"Lincoln (1968/06/25 - 1972/10/29)
","Ontario
",Man,"Liberal Party of Canada (1968/06/25 - 1972/10/29)
","1588 days (4 years, 4 months, 5 days)"
"Barrett, Michael",NA,"MP (2018/12/03 - )
","2018/12/03 - 
",NA,"Leeds--Grenville--Thousand Islands and Rideau Lakes (2018/12/03 - )
","Ontario
",Man,"Conservative Party of Canada (2018/12/03 - )
","1925 days (5 years, 3 months, 8 days)"
"Barrette, Gilbert",1941-05-29,"MP (2003/06/16 - 2004/06/27)
","2003/06/16 - 2004/06/27
",NA,"Témiscamingue (2003/06/16 - 2004/06/27)
","Quebec
",Man,"Liberal Party of Canada (2003/06/16 - 2004/06/27)
","378 days (1 years, 13 days)"
"Barrow, Augustus Irvine",1913-02-15,"Senator (1974/05/08 - 1988/02/15)
",NA,"1974/05/08 - 1988/02/15
","Halifax-Dartmouth (1974/05/08 - 1988/02/15)
","Nova Scotia
",Man,"Liberal Party of Canada (1974/05/08 - 1988/02/15)
","5032 days (13 years, 9 months, 10 days)"
"Barsalou-Duval, Xavier",1988-11-10,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Pierre-Boucher--Les Patriotes--Verchères (2015/10/19 - )
","Quebec
",Man,"Bloc Québécois (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Basford, Stanley Ronald",1932-04-22,"MP (1968/06/25 - 1979/02/20)
MP (1963/04/08 - 1968/06/24)
","1968/06/25 - 1979/02/20
1963/04/08 - 1968/06/24
",NA,"Vancouver Centre (1968/06/25 - 1979/02/20)
Vancouver--Burrard (1963/04/08 - 1968/06/24)
","British Columbia
British Columbia
",Man,"Liberal Party of Canada (1963/04/08 - 1979/02/20)
","5798 days (15 years, 10 months, 15 days)"
"Basha, Michael G.",1896-01-20,"Senator (1951/01/24 - 1976/11/18)
",NA,"1951/01/24 - 1976/11/18
","West Coast (1951/01/24 - 1976/11/18)
","Newfoundland and Labrador
",Man,"Liberal Party of Canada (1951/01/24 - 1976/11/18)
","9431 days (25 years, 9 months, 26 days)"
"Bateman, Joyce",NA,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Winnipeg South Centre (2011/05/02 - 2015/10/18)
","Manitoba
",Woman,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Batten, Herman Maxwell",1909-08-04,"MP (1953/08/10 - 1968/06/24)
","1953/08/10 - 1968/06/24
",NA,"Humber--St. George's (1953/08/10 - 1968/06/24)
","Newfoundland and Labrador
",Man,"Liberal Party of Canada (1953/08/10 - 1968/06/24)
","5433 days (14 years, 10 months, 16 days)"
"Batters, Dave",1969-07-12,"MP (2004/06/28 - 2008/10/13)
","2004/06/28 - 2008/10/13
",NA,"Palliser (2004/06/28 - 2008/10/13)
","Saskatchewan
",Man,"Conservative Party of Canada (2004/06/28 - 2008/10/13)
","1569 days (4 years, 3 months, 17 days)"
"Batters, Denise",NA,"Senator (2013/01/25 - )
",NA,"2013/01/25 - 
","Saskatchewan (2013/01/25 - )
","Saskatchewan
",Woman,"Conservative Party of Canada (2013/01/25 - )
","4063 days (11 years, 1 months, 15 days)"
"Battiste, Jaime",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Sydney--Victoria (2019/10/21 - )
","Nova Scotia
",Man,"Liberal Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Bawden, Peter Colwell",1929-01-01,"MP (1972/10/30 - 1979/05/21)
","1972/10/30 - 1979/05/21
",NA,"Calgary South (1972/10/30 - 1979/05/21)
","Alberta
",Man,"Progressive Conservative Party (1972/10/30 - 1979/05/21)
","2395 days (6 years, 6 months, 21 days)"
"Baylis, Frank",1962-11-15,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"Pierrefonds--Dollard (2015/10/19 - 2019/10/20)
","Quebec
",Man,"Liberal Party of Canada (2015/10/19 - 2019/10/20)
","1463 days (4 years, 2 days)"
"Bazin, Jean",1940-01-31,"Senator (1986/12/29 - 1989/12/08)
",NA,"1986/12/29 - 1989/12/08
","De la Durantaye (1986/12/29 - 1989/12/08)
","Quebec
",Man,"Progressive Conservative Party (1986/12/29 - 1989/12/08)
","1076 days (2 years, 11 months, 11 days)"
"Beattie, Duncan M.",1929-07-07,"MP (1979/05/22 - 1980/02/17)
MP (1972/10/30 - 1974/07/07)
","1979/05/22 - 1980/02/17
1972/10/30 - 1974/07/07
",NA,"Hamilton Mountain (1979/05/22 - 1980/02/17)
Hamilton Mountain (1972/10/30 - 1974/07/07)
","Ontario
Ontario
",Man,"Progressive Conservative Party (1979/05/22 - 1980/02/17)
Progressive Conservative Party (1972/10/30 - 1974/07/07)
","888 days (2 years, 5 months, 6 days)"
"Beatty, Henry Perrin",1950-06-01,"MP (1988/11/21 - 1993/10/24)
MP (1979/05/22 - 1988/11/20)
MP (1972/10/30 - 1979/05/21)
","1988/11/21 - 1993/10/24
1979/05/22 - 1988/11/20
1972/10/30 - 1979/05/21
",NA,"Wellington--Grey--Dufferin--Simcoe (1988/11/21 - 1993/10/24)
Wellington--Dufferin--Simcoe (1979/05/22 - 1988/11/20)
Wellington--Grey--Dufferin--Waterloo (1972/10/30 - 1979/05/21)
","Ontario
Ontario
Ontario
",Man,"Progressive Conservative Party (1972/10/30 - 1993/10/24)
","7665 days (20 years, 11 months, 25 days)"
"Beaubien, Arthur-Lucien",1879-02-11,"MP (1921/12/06 - 1940/01/28)
Senator (1940/01/29 - 1969/02/01)
","1921/12/06 - 1940/01/28
","1940/01/29 - 1969/02/01
","Provencher (1940/01/29 - 1969/02/01)
Provencher (1921/12/06 - 1940/01/28)
","Manitoba
Manitoba
",Man,"Liberal Party of Canada (1940/01/29 - 1969/02/01)
Liberal Party of Canada (1935/10/14 - 1940/01/28)
Liberal Progressive (1926/09/14 - 1935/10/13)
Progressive (1925/10/29 - 1926/09/13)
Liberal Party of Canada (1921/12/06 - 1925/10/28)
","17225 days (47 years, 1 months, 28 days)"
"Beaubien, Louis-Philippe",1903-03-03,"Senator (1960/11/16 - 1985/03/28)
",NA,"1960/11/16 - 1985/03/28
","Bedford (1960/11/16 - 1985/03/28)
","Quebec
",Man,"Progressive Conservative Party (1960/11/16 - 1985/03/28)
","8899 days (24 years, 4 months, 11 days)"
"Beauchamp-Niquet, Suzanne",1932-08-11,"MP (1980/02/18 - 1984/09/03)
","1980/02/18 - 1984/09/03
",NA,"Roberval (1980/02/18 - 1984/09/03)
","Quebec
",Woman,"Liberal Party of Canada (1980/02/18 - 1984/09/03)
","1660 days (4 years, 6 months, 16 days)"
"Beaudin, Josée",1961-12-20,"MP (2008/10/14 - 2011/05/01)
","2008/10/14 - 2011/05/01
",NA,"Saint-Lambert (2008/10/14 - 2011/05/01)
","Quebec
",Woman,"Bloc Québécois (2008/10/14 - 2011/05/01)
","930 days (2 years, 6 months, 17 days)"
"Beaudoin, Gérald A.",1929-04-15,"Senator (1988/09/26 - 2004/04/15)
",NA,"1988/09/26 - 2004/04/15
","Rigaud (1988/09/26 - 2004/04/15)
","Quebec
",Man,"Conservative Party of Canada (2004/02/02 - 2004/04/15)
Progressive Conservative Party (1988/09/26 - 2004/02/01)
","5681 days (15 years, 6 months, 19 days)"
"Beaudoin, Léonel",1924-09-13,"MP (1968/06/25 - 1979/05/21)
","1968/06/25 - 1979/05/21
",NA,"Richmond (1968/06/25 - 1979/05/21)
","Quebec
",Man,"Social Credit Party of Canada (1971/04/01 - 1979/05/21)
Ralliement des créditistes (1968/06/25 - 1971/03/31)
","3983 days (10 years, 10 months, 27 days)"
"Beaulé, Jean Robert",1927-06-17,"MP (1962/06/18 - 1965/11/07)
","1962/06/18 - 1965/11/07
",NA,"Quebec East (1962/06/18 - 1965/11/07)
","Quebec
",Man,"Ralliement des créditistes (1963/09/01 - 1965/11/07)
Social Credit Party of Canada (1962/06/18 - 1963/08/31)
","1239 days (3 years, 4 months, 21 days)"
"Beaulieu, Jean-Paul",1902-01-22,"MP (1965/11/08 - 1968/06/24)
","1965/11/08 - 1968/06/24
",NA,"Saint-Jean--Iberville--Napierville (1965/11/08 - 1968/06/24)
","Quebec
",Man,"Progressive Conservative Party (1965/11/08 - 1968/06/24)
","960 days (2 years, 7 months, 17 days)"
"Beaulieu, Mario",1959,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"La Pointe-de-l'Île (2015/10/19 - )
","Quebec
",Man,"Bloc Québécois (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Beaulieu, Mario",1930-02-01,"Senator (1990/08/30 - 1994/06/22)
",NA,"1990/08/30 - 1994/06/22
","De la Durantaye (1990/08/30 - 1994/06/22)
","Quebec
",Man,"Progressive Conservative Party (1990/08/30 - 1994/06/22)
","1393 days (3 years, 9 months, 23 days)"
"Beaumier, Colleen",1944-11-08,"MP (2004/06/28 - 2008/10/13)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","2004/06/28 - 2008/10/13
1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Brampton West (2004/06/28 - 2008/10/13)
Brampton West--Mississauga (1997/06/02 - 2004/06/27)
Brampton (1993/10/25 - 1997/06/01)
","Ontario
Ontario
Ontario
",Woman,"Liberal Party of Canada (1993/10/25 - 2008/10/13)
","5468 days (14 years, 11 months, 20 days)"
"Béchard, Albert",1922-11-18,"MP (1972/10/30 - 1979/05/21)
MP (1962/06/18 - 1972/10/29)
","1972/10/30 - 1979/05/21
1962/06/18 - 1972/10/29
",NA,"Bonaventure--Îles-de-la-Madeleine (1972/10/30 - 1979/05/21)
Bonaventure (1962/06/18 - 1972/10/29)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1962/06/18 - 1979/05/21)
","6182 days (16 years, 11 months, 3 days)"
